subjid,ID,dob,dot,weekday,agedays,ageyears,agegroup,language,monolingual,site,order,timelinefirst,task,linenum,itemtype,itemnum,item,covered,linelength,distfrommid_c1,distfrommid_c2,response1,response2,response,correctr,prompts,comments,exclude,experimenter
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,timeline,4,deictic,4,twoago,,13,-2.1,,,,1,1,,Drew pink line on previous timeline first,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,,verbal,1,daysofweek,,,,,,,7,7,0,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,0,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,,verbal,4,today,,,,,,,1,2,,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,,verbal,5,yesterday,,,,,,,1,1,,,1,
P03,,11/4/12,2/18/19,2,2297,6.293150685,6,english,1,,1,1,calendar,,verbal,6,tomorrow,,,,,,,3,3,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,1,event,1,breakfast,,14,-2.7,,,,2,2,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,1,event,2,nextbday,,14,2.7,,,,4,4,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,1,event,3,dinner,,14,0.6,,,,3,3,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,1,event,4,lastbday,,14,-3.2,,,,1,1,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,2,deictic,1,lastweek,,14,-1,,,,2,1,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,2,deictic,2,inaday,,14,-0.9,,,,3,4,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,2,deictic,3,twoago,,14,-1.5,,,,1,2,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,2,deictic,4,tonight,,14,1,,,,4,3,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,3,deictic,1,nextweek,,14,0.5,,,,4,4,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,3,deictic,2,dayago,,14,-0.2,,,,3,1,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,3,deictic,3,twofromnow,,14,-0.5,,,,2,3,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,3,deictic,4,lastnight,,14,-2.1,,,,1,2,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,4,deictic,1,tomorrow,,14,1.2,,,,3,3,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,4,deictic,2,yesterday,,14,-1.3,,,,2,2,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,4,deictic,3,twofromnow,,14,1.6,,,,4,4,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,timeline,4,deictic,4,twoago,,14,-2,,,,1,1,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,,verbal,1,daysofweek,,,,,,,7,7,0,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,0,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,,verbal,3,beforetoday,,,,,,,1,2,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,,verbal,4,today,,,,,,,6,6,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,,verbal,5,yesterday,,,,,,,5,5,,,1,
P04,148104,12/7/13,2/22/19,6,1903,5.21369863,5,english,1,,1,1,calendar,,verbal,6,tomorrow,,,,,,,7,7,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,,verbal,1,daysofweek,,,,,,,5,7,2,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,0,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,,verbal,4,today,,,,,,,7,5,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,,verbal,5,yesterday,,,,,,,4,4,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,calendar,,verbal,6,tomorrow,,,,,,,6,6,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,1,event,1,breakfast,,14,-7,,,,1,2,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,1,event,2,nextbday,,14,0,,,,3,4,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,1,event,3,dinner,,14,7,,,,4,3,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,1,event,4,lastbday,,14,-1.9,,,,2,1,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,2,deictic,1,lastweek,,14,-7,,,,1,1,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,2,deictic,2,inaday,,14,0,,,,3,4,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,2,deictic,3,twoago,,14,-4.3,,,,2,2,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,2,deictic,4,tonight,,14,1.5,,,,4,3,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,3,deictic,1,nextweek,,14,7,,,,4,4,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,3,deictic,2,dayago,,14,-4.5,,,,3,1,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,3,deictic,3,twofromnow,,14,-7.1,,,,2,3,,"the line for this and the next trial are on top of each other, so we have both of them ranked 1",1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,3,deictic,4,lastnight,,14,-7,,,,1,2,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,4,deictic,1,tomorrow,,14,7.1,,,,4,3,,"the line for this and two from now, so we have both of them ranked 1",1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,4,deictic,2,yesterday,,14,0,,,,2,2,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,4,deictic,3,twofromnow,,14,7,,,,3,4,,,1,
P05,136386,12/14/13,3/1/19,6,1903,5.21369863,5,english,1,,1,0,timeline,4,deictic,4,twoago,,14,-7,,,,1,1,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,,verbal,1,daysofweek,,,,,,,5,7,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,1,deictic,1,tomorrow,,,,,,,5,5,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,2,deictic,2,yesterday,,,,,,,3,3,1,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,3,deictic,3,beforeyesterday,,,,,,,2,2,1,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,4,deictic,4,aftertomorrow,,,,,,,999,6,,"trial omitted, experimenter error",1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,,verbal,2,aftertoday,,,,,,,2,1,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,,verbal,4,today,,,,,,,1,1,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,,verbal,5,yesterday,,,,,,,2,7,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,calendar,,verbal,6,tomorrow,,,,,,,6,2,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,1,event,1,lastbday,,14,,,,,999,1,,"Drew all lines on top of eachother, and multiple lines for each trial",1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,1,event,2,dinner,,14,,,,,999,3,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,1,event,3,nextbday,,14,,,,,999,4,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,1,event,4,breakfast,,14,,,,,999,2,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,2,deictic,1,tonight,,14,,,,,999,3,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,2,deictic,2,twoago,,14,,,,,999,2,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,2,deictic,3,inaday,,14,,,,,999,4,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,2,deictic,4,lastweek,,14,,,,,999,1,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,3,deictic,1,lastnight,,14,,,,,999,2,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,3,deictic,2,twofromnow,,14,,,,,999,3,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,3,deictic,3,dayago,,14,,,,,999,1,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,3,deictic,4,nextweek,,14,,,,,999,4,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,4,deictic,1,twoago,,14,,,,,999,1,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,4,deictic,2,twofromnow,,14,,,,,999,4,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,4,deictic,3,yesterday,,14,,,,,999,2,,,1,
P06,146599,10/24/14,3/4/19,2,1592,4.361643836,4,english,1,,2,0,timeline,4,deictic,4,tomorrow,,14,,,,,999,3,,,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,,verbal,1,daysofweek,,,,,,,6,7,1,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,1,deictic,1,tomorrow,,,,,,,5,5,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,2,deictic,2,yesterday,,,,,,,3,3,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,3,deictic,3,beforeyesterday,,,,,,,2,2,1,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,4,deictic,4,aftertomorrow,,,,,,,7,6,1,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,,verbal,2,aftertoday,,,,,,,2,1,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,,verbal,3,beforetoday,,,,,,,1,2,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,,verbal,4,today,,,,,,,2,7,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,,verbal,5,yesterday,,,,,,,3,6,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,1,0,calendar,,verbal,6,tomorrow,,,,,,,2,1,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,1,event,1,lastbday,,14,-7,,,,1,2,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,1,event,2,dinner,,14,0,,,,3,4,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,1,event,3,nextbday,,14,6.7,,,,4,3,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,1,event,4,breakfast,,14,-5.6,,,,2,1,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,2,deictic,1,tonight,,14,-6.9,,,,1,1,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,2,deictic,2,twoago,,14,-5.7,,,,2,4,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,2,deictic,3,inaday,,14,-4.3,,,,3,2,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,2,deictic,4,lastweek,,14,-3.3,,,,4,3,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,3,deictic,1,lastnight,,14,-6.7,,,,1,4,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,3,deictic,2,twofromnow,,14,-5.5,,,,2,1,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,3,deictic,3,dayago,,14,-4.9,,,,3,3,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,3,deictic,4,nextweek,,14,-3.3,,,,4,2,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,4,deictic,1,twoago,,14,-6.5,,,,1,3,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,4,deictic,2,twofromnow,,14,-5.6,,,,2,2,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,4,deictic,3,yesterday,,14,-4.9,,,,3,4,,spanish ,1,
P07,136645,3/5/13,3/9/19,7,2195,6.01369863,6,english ,0,,2,0,timeline,4,deictic,4,tomorrow,,14,-3.3,,,,4,1,,spanish ,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,,verbal,1,daysofweek,,,,,,,1,7,2,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,1,deictic,1,tomorrow,,,,,,,6,5,2,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,2,deictic,2,yesterday,,,,,,,1,3,2,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,3,deictic,3,beforeyesterday,,,,,,,2,2,2,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,4,deictic,4,aftertomorrow,,,,,,,3,6,2,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,,verbal,3,beforetoday,,,,,,,1,2,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,,verbal,4,today,,,,,,,3,7,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,,verbal,5,yesterday,,,,,,,2,6,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,calendar,,verbal,6,tomorrow,,,,,,,4,1,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,1,event,1,lastbday,,14,-5.6,,,,1,1,,Drew lines above each time line and some scribbles,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,1,event,2,dinner,,14,1.3,,,,2,3,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,1,event,3,nextbday,,14,2.1,,,,3,4,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,1,event,4,breakfast,,14,2.7,,,,4,2,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,2,deictic,1,tonight,,14,-6.5,,,,1,3,,Drew a gray line on first timeline and then again on the second,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,2,deictic,2,twoago,,14,-6,,,,2,2,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,2,deictic,3,inaday,,14,-5.6,,,,3,4,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,2,deictic,4,lastweek,,14,-5.1,,,,4,1,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,3,deictic,1,lastnight,,14,-6.6,,,,1,2,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,3,deictic,2,twofromnow,,14,-6.1,,,,2,3,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,3,deictic,3,dayago,,14,-5.6,,,,3,1,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,3,deictic,4,nextweek,,14,-5.2,,,,4,4,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,4,deictic,1,twoago,,14,-5.8,,,,1,1,,,1,
P08 ,149839,6/26/14,3/9/19,7,1717,4.704109589,4,english ,1,,2,0,timeline,4,deictic,2,twofromnow,,14,-5,,,,2,4,,,1,
