"","X","subjid","weekday","ageyears","agegroup","language","order","timelinefirst","task","linenum","itemtype","itemnum","item","linelength","distfrommid","distfrommid_2","response1","response2","response","correctr","prompts","exclude","DaysOfWeek_Correct","Num_Prompts","correctR","correct","dist.error","dist.error.a","resp.stat","resp.stat.1","item.stat","stat.correct","stat.correct.1","resp.remoteness","cor.remote"
"11",11,"01LS",3,3.11,"3","german",1,0,"timeline",3,"deictic",3,"yesterday",14.6,5.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"12",12,"01LS",3,3.11,"3","german",1,0,"timeline",3,"deictic",4,"lastyear",14.6,2.6,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"13",13,"01LS",3,3.11,"3","german",1,0,"timeline",4,"deictic",1,"yesterday",14.6,7.2,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"14",14,"01LS",3,3.11,"3","german",1,0,"timeline",4,"deictic",2,"tomorrow",14.6,6.8,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"15",15,"01LS",3,3.11,"3","german",1,0,"timeline",4,"deictic",3,"aftertomorrow",14.6,7,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"16",16,"01LS",3,3.11,"3","german",1,0,"timeline",4,"deictic",4,"beforeyesterday",14.6,6.9,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"17",17,"01LS",3,3.11,"3","german",1,0,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"18",18,"01LS",3,3.11,"3","german",1,0,"calendar",1,"deictic",1,"beforeyesterday",NA,NA,NA,NA,3,3,3,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,0
"19",19,"01LS",3,3.11,"3","german",1,0,"calendar",2,"deictic",2,"aftertomorrow",NA,NA,NA,1,2,2,2,NA,0,NA,NA,6,0,4,4,0,0,1,0,0,2,1
"20",20,"01LS",3,3.11,"3","german",1,0,"calendar",3,"deictic",3,"yesterday",NA,NA,NA,7,5,5,5,NA,0,NA,NA,3,0,-2,2,1,1,0,0,0,1,1
"21",21,"01LS",3,3.11,"3","german",1,0,"calendar",4,"deictic",4,"tomorrow",NA,NA,NA,5,6,6,6,NA,0,NA,NA,5,0,-1,1,1,1,1,1,1,2,0
"22",22,"01LS",3,3.11,"3","german",1,0,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"23",23,"01LS",3,3.11,"3","german",1,0,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"24",24,"01LS",3,3.11,"3","german",1,0,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,0,1,1,NA,NA
"25",25,"01LS",3,3.11,"3","german",1,0,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"26",26,"01LS",3,3.11,"3","german",1,0,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"27",27,"03LS",5,3.1,"3","german",1,0,"timeline",1,"event",1,"breakfast",14.6,-7.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"28",28,"03LS",5,3.1,"3","german",1,0,"timeline",1,"event",2,"nextbday",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"29",29,"03LS",5,3.1,"3","german",1,0,"timeline",1,"event",3,"dinner",14.6,0,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"30",30,"03LS",5,3.1,"3","german",1,0,"timeline",1,"event",4,"lastbday",14.6,2.9,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"31",31,"03LS",5,3.1,"3","german",1,0,"timeline",2,"deictic",1,"lastweek",14.6,0,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"32",32,"03LS",5,3.1,"3","german",1,0,"timeline",2,"deictic",2,"tomorrow",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"33",33,"03LS",5,3.1,"3","german",1,0,"timeline",2,"deictic",3,"tonight",14.6,-7.3,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"34",34,"03LS",5,3.1,"3","german",1,0,"timeline",2,"deictic",4,"thismorning",14.6,4.2,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"35",35,"03LS",5,3.1,"3","german",1,0,"timeline",3,"deictic",1,"nextweek",14.6,7.3,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"36",36,"03LS",5,3.1,"3","german",1,0,"timeline",3,"deictic",2,"nextyear",14.6,0,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"37",37,"03LS",5,3.1,"3","german",1,0,"timeline",3,"deictic",3,"yesterday",14.6,-7.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"38",38,"03LS",5,3.1,"3","german",1,0,"timeline",3,"deictic",4,"lastyear",14.6,-3.1,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"39",39,"03LS",5,3.1,"3","german",1,0,"timeline",4,"deictic",1,"yesterday",14.6,-0.1,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"40",40,"03LS",5,3.1,"3","german",1,0,"timeline",4,"deictic",2,"tomorrow",14.6,3.6,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"41",41,"03LS",5,3.1,"3","german",1,0,"timeline",4,"deictic",3,"aftertomorrow",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"42",42,"03LS",5,3.1,"3","german",1,0,"timeline",4,"deictic",4,"beforeyesterday",14.6,-4.7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"43",43,"03LS",5,3.1,"3","german",3,0,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"44",44,"03LS",5,3.1,"3","german",3,0,"calendar",1,"deictic",1,"beforeyesterday",NA,NA,NA,7,5,5,5,NA,0,NA,NA,2,0,-3,3,1,1,0,0,0,1,0
"45",45,"03LS",5,3.1,"3","german",3,0,"calendar",2,"deictic",2,"aftertomorrow",NA,NA,NA,1,2,2,2,NA,0,NA,NA,6,0,4,4,0,0,1,0,0,2,1
"46",46,"03LS",5,3.1,"3","german",3,0,"calendar",3,"deictic",3,"yesterday",NA,NA,NA,6,NA,6,6,NA,0,NA,NA,3,0,-3,3,1,1,0,0,0,2,0
"47",47,"03LS",5,3.1,"3","german",3,0,"calendar",4,"deictic",4,"tomorrow",NA,NA,NA,2,2,2,3,NA,0,NA,NA,5,0,3,3,0,0,1,0,0,2,0
"48",48,"03LS",5,3.1,"3","german",3,0,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"49",49,"03LS",5,3.1,"3","german",3,0,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"50",50,"03LS",5,3.1,"3","german",3,0,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,5,NA,NA,NA,0,0,0,1,1,NA,NA
"51",51,"03LS",5,3.1,"3","german",3,0,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,0,1,1,NA,NA
"52",52,"03LS",5,3.1,"3","german",3,0,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,6,NA,0,NA,NA,6,NA,NA,NA,0,0,1,0,0,NA,NA
"53",53,"05LS",4,3.1,"3","german",2,0,"timeline",1,"event",1,"lastbday",14.6,-7.2,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"54",54,"05LS",4,3.1,"3","german",2,0,"timeline",1,"event",2,"dinner",14.6,0.4,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"55",55,"05LS",4,3.1,"3","german",2,0,"timeline",1,"event",3,"nextbday",14.6,2.9,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"56",56,"05LS",4,3.1,"3","german",2,0,"timeline",1,"event",4,"breakfast",14.6,-2.7,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"57",57,"05LS",4,3.1,"3","german",2,0,"timeline",2,"deictic",1,"thismorning",14.6,0.4,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"58",58,"05LS",4,3.1,"3","german",2,0,"timeline",2,"deictic",2,"tonight",14.6,0.4,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"59",59,"05LS",4,3.1,"3","german",2,0,"timeline",2,"deictic",3,"tomorrow",14.6,1.7,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"60",60,"05LS",4,3.1,"3","german",2,0,"timeline",2,"deictic",4,"lastweek",14.6,-3.2,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"61",61,"05LS",4,3.1,"3","german",2,0,"timeline",3,"deictic",1,"lastyear",14.6,-1.6,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"62",62,"05LS",4,3.1,"3","german",2,0,"timeline",3,"deictic",2,"yesterday",14.6,3.4,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"63",63,"05LS",4,3.1,"3","german",2,0,"timeline",3,"deictic",3,"nextyear",14.6,0.5,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"64",64,"05LS",4,3.1,"3","german",2,0,"timeline",3,"deictic",4,"nextweek",14.6,3.8,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"65",65,"05LS",4,3.1,"3","german",2,0,"timeline",4,"deictic",1,"tomorrow",14.6,3.1,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"66",66,"05LS",4,3.1,"3","german",2,0,"timeline",4,"deictic",2,"yesterday",14.6,-1.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"67",67,"05LS",4,3.1,"3","german",2,0,"timeline",4,"deictic",3,"beforeyesterday",14.6,4.9,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"68",68,"05LS",4,3.1,"3","german",2,0,"timeline",4,"deictic",4,"aftertomorrow",14.6,-4.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"69",69,"05LS",4,3.1,"3","german",1,0,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,NA,NA,NA,7,3,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"70",70,"05LS",4,3.1,"3","german",1,0,"calendar",1,"deictic",1,"beforeyesterday",NA,NA,NA,NA,3,3,3,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,0
"71",71,"05LS",4,3.1,"3","german",1,0,"calendar",2,"deictic",2,"aftertomorrow",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,6,0,4,4,0,0,1,0,0,2,1
"72",72,"05LS",4,3.1,"3","german",1,0,"calendar",3,"deictic",3,"yesterday",NA,NA,NA,1,5,5,5,NA,0,NA,NA,3,0,-2,2,1,0,0,0,1,1,1
"73",73,"05LS",4,3.1,"3","german",1,0,"calendar",4,"deictic",4,"tomorrow",NA,NA,NA,6,NA,6,6,NA,0,NA,NA,5,0,-1,1,1,1,1,1,1,2,0
"74",74,"05LS",4,3.1,"3","german",1,0,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"75",75,"05LS",4,3.1,"3","german",1,0,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"76",76,"05LS",4,3.1,"3","german",1,0,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,0,1,1,NA,NA
"77",77,"05LS",4,3.1,"3","german",1,0,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,0,1,1,NA,NA
"78",78,"05LS",4,3.1,"3","german",1,0,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,5,NA,NA,NA,0,0,1,0,0,NA,NA
"79",79,"06LS",4,3.6,"3","german",1,1,"timeline",1,"event",1,"breakfast",14.6,0.2,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"80",80,"06LS",4,3.6,"3","german",1,1,"timeline",1,"event",2,"nextbday",14.6,-0.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"81",81,"06LS",4,3.6,"3","german",1,1,"timeline",1,"event",3,"dinner",14.6,0.5,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"82",82,"06LS",4,3.6,"3","german",1,1,"timeline",1,"event",4,"lastbday",14.6,0.7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"83",83,"06LS",4,3.6,"3","german",1,1,"timeline",2,"deictic",1,"lastweek",14.6,-3.3,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"84",84,"06LS",4,3.6,"3","german",1,1,"timeline",2,"deictic",2,"tomorrow",14.6,1.2,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"85",85,"06LS",4,3.6,"3","german",1,1,"timeline",2,"deictic",3,"tonight",14.6,2.1,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"86",86,"06LS",4,3.6,"3","german",1,1,"timeline",2,"deictic",4,"thismorning",14.6,0.6,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"87",87,"06LS",4,3.6,"3","german",1,1,"timeline",3,"deictic",1,"nextweek",14.6,0.1,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"88",88,"06LS",4,3.6,"3","german",1,1,"timeline",3,"deictic",2,"nextyear",14.6,1.4,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"89",89,"06LS",4,3.6,"3","german",1,1,"timeline",3,"deictic",3,"yesterday",14.6,3.2,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"90",90,"06LS",4,3.6,"3","german",1,1,"timeline",3,"deictic",4,"lastyear",14.6,-0.9,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"91",91,"06LS",4,3.6,"3","german",1,1,"timeline",4,"deictic",1,"yesterday",14.6,-0.6,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"92",92,"06LS",4,3.6,"3","german",1,1,"timeline",4,"deictic",2,"tomorrow",14.6,4.5,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"93",93,"06LS",4,3.6,"3","german",1,1,"timeline",4,"deictic",3,"aftertomorrow",14.6,2.1,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"94",94,"06LS",4,3.6,"3","german",1,1,"timeline",4,"deictic",4,"beforeyesterday",14.6,-2.4,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"95",95,"06LS",4,3.6,"3","german",2,1,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"96",96,"06LS",4,3.6,"3","german",2,1,"calendar",1,"deictic",1,"beforeyesterday",NA,NA,NA,3,NA,3,3,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,0
"97",97,"06LS",4,3.6,"3","german",2,1,"calendar",2,"deictic",2,"aftertomorrow",NA,NA,NA,5,NA,5,5,NA,0,NA,NA,6,0,1,1,1,1,1,1,1,1,0
"98",98,"06LS",4,3.6,"3","german",2,1,"calendar",3,"deictic",3,"yesterday",NA,NA,NA,3,3,3,2,NA,0,NA,NA,3,1,0,0,0,0,0,1,1,1,1
"99",99,"06LS",4,3.6,"3","german",2,1,"calendar",4,"deictic",4,"tomorrow",NA,NA,NA,5,6,6,6,NA,0,NA,NA,5,0,-1,1,1,1,1,1,1,2,0
"100",100,"06LS",4,3.6,"3","german",2,1,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"101",101,"06LS",4,3.6,"3","german",2,1,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"102",102,"06LS",4,3.6,"3","german",2,1,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,0,1,1,NA,NA
"103",103,"06LS",4,3.6,"3","german",2,1,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,0,1,1,NA,NA
"104",104,"06LS",4,3.6,"3","german",2,1,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,5,NA,NA,NA,0,0,1,0,0,NA,NA
"105",105,"07LS",1,3.6,"3","german",2,0,"timeline",1,"event",1,"lastbday",14.6,-7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"106",106,"07LS",1,3.6,"3","german",2,0,"timeline",1,"event",2,"dinner",14.6,5.1,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"107",107,"07LS",1,3.6,"3","german",2,0,"timeline",1,"event",3,"nextbday",14.6,1.5,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"108",108,"07LS",1,3.6,"3","german",2,0,"timeline",1,"event",4,"breakfast",14.6,-3.7,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"109",109,"07LS",1,3.6,"3","german",2,0,"timeline",2,"deictic",1,"thismorning",14.6,3.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"110",110,"07LS",1,3.6,"3","german",2,0,"timeline",2,"deictic",2,"tonight",14.6,-4,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"111",111,"07LS",1,3.6,"3","german",2,0,"timeline",2,"deictic",3,"tomorrow",14.6,2.1,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"112",112,"07LS",1,3.6,"3","german",2,0,"timeline",2,"deictic",4,"lastweek",14.6,-6.6,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"113",113,"07LS",1,3.6,"3","german",2,0,"timeline",3,"deictic",1,"lastyear",14.6,6.5,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"114",114,"07LS",1,3.6,"3","german",2,0,"timeline",3,"deictic",2,"yesterday",14.6,-3.7,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"115",115,"07LS",1,3.6,"3","german",2,0,"timeline",3,"deictic",3,"nextyear",14.6,4.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"116",116,"07LS",1,3.6,"3","german",2,0,"timeline",3,"deictic",4,"nextweek",14.6,2.4,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"117",117,"07LS",1,3.6,"3","german",2,0,"timeline",4,"deictic",1,"tomorrow",14.6,6.5,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"118",118,"07LS",1,3.6,"3","german",2,0,"timeline",4,"deictic",2,"yesterday",14.6,3.7,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"119",119,"07LS",1,3.6,"3","german",2,0,"timeline",4,"deictic",3,"beforeyesterday",14.6,-3.7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"120",120,"07LS",1,3.6,"3","german",2,0,"timeline",4,"deictic",4,"aftertomorrow",14.6,-5.5,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"121",121,"07LS",1,3.6,"3","german",3,0,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"122",122,"07LS",1,3.6,"3","german",3,0,"calendar",1,"deictic",1,"beforeyesterday",NA,NA,NA,5,NA,5,5,NA,0,NA,NA,2,0,-3,3,1,1,0,0,0,1,0
"123",123,"07LS",1,3.6,"3","german",3,0,"calendar",2,"deictic",2,"aftertomorrow",NA,NA,NA,3,3,3,2,NA,0,NA,NA,6,0,3,3,0,0,1,0,0,1,0
"124",124,"07LS",1,3.6,"3","german",3,0,"calendar",3,"deictic",3,"yesterday",NA,NA,NA,3,5,5,6,NA,0,NA,NA,3,0,-2,2,1,0,0,0,1,1,1
"125",125,"07LS",1,3.6,"3","german",3,0,"calendar",4,"deictic",4,"tomorrow",NA,NA,NA,5,3,3,3,NA,0,NA,NA,5,0,2,2,0,1,1,0,1,1,1
"126",126,"07LS",1,3.6,"3","german",3,0,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"127",127,"07LS",1,3.6,"3","german",3,0,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"128",128,"07LS",1,3.6,"3","german",3,0,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"129",129,"07LS",1,3.6,"3","german",3,0,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"130",130,"07LS",1,3.6,"3","german",3,0,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,1,0,0,NA,NA
"131",131,"08LS",2,3.9,"3","german",1,1,"timeline",1,"event",1,"breakfast",14.6,3.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
